TermIdx,RF4_Topic_1,RF4_Topic_2,RF4_Topic_3,RF4_Topic_4,GI5_Topic_1,GI5_Topic_2,GI5_Topic_3,GI5_Topic_4,GI5_Topic_5,V7_Topic_1,V7_Topic_2,V7_Topic_3,V7_Topic_4,V7_Topic_5,V7_Topic_6,V7_Topic_7,V10_Topic_1,V10_Topic_2,V10_Topic_3,V10_Topic_4,V10_Topic_5,V10_Topic_6,V10_Topic_7,V10_Topic_8,V10_Topic_9,V10_Topic_10,M11_Topic_1,M11_Topic_2,M11_Topic_3,M11_Topic_4,M11_Topic_5,M11_Topic_6,M11_Topic_7,M11_Topic_8,M11_Topic_9,M11_Topic_10,M11_Topic_11,M15_Topic_1,M15_Topic_2,M15_Topic_3,M15_Topic_4,M15_Topic_5,M15_Topic_6,M15_Topic_7,M15_Topic_8,M15_Topic_9,M15_Topic_10,M15_Topic_11,M15_Topic_12,M15_Topic_13,M15_Topic_14,M15_Topic_15
1,communiti,secur,user,communiti,communiti,develop,creat,user,secur,vision,decentr,user,blockchain,financi,good,communiti,communiti,ecosystem,ensur,blockchain,blockchain,financi,world,vision,good,user,secur,develop,communiti,innov,user,blockchain,mission,good,mission,creat,blockchain,decentr,blockchain,secur,mission,empow,blockchain,network,govern,develop,mission,good,peopl,innov,user,communiti
2,make,ecosystem,develop,govern,activ,support,long,blockchain,blockchain,communiti,ecosystem,blockchain,futur,empow,team,govern,particip,technolog,develop,secur,decentr,empow,success,make,team,develop,decentr,govern,token,empow,network,innov,’,team,communiti,ecosystem,technolog,creat,futur,scalabl,’,access,technolog,ethereum,particip,ecosystem,vision,team,chain,decentr,develop,attract
3,good,network,support,particip,success,ecosystem,great,technolog,ensur,make,creat,develop,innov,world,great,develop,activ,decentr,govern,transpar,futur,access,futur,layer,great,network,scalabl,project,reward,individu,transact,sustain,make,crypto,vision,decentr,solut,futur,sustain,solut,make,inclus,audienc,transact,communiti,support,communiti,crypto,industri,ecosystem,provid,reward
4,team,blockchain,educ,transpar,increas,innov,futur,secur,solut,layer,solut,secur,secur,access,support,activ,user,solut,achiev,transact,envis,inclus,impact,peopl,project,platform,provid,particip,give,inclus,ecosystem,experi,peopl,great,shape,futur,develop,transpar,secur,adopt,world,financi,target,blockchain,member,build,shape,great,game,space,platform,token
5,reward,project,success,strateg,make,fund,reward,attract,decentr,peopl,technolog,network,envis,success,chain,ensur,vision,scalabl,goal,chain,vision,global,member,power,attract,ecosystem,layer,support,vote,financi,develop,servic,chain,hope,valu,world,adopt,impact,commit,decentr,interest,defi,core,make,activ,project,valu,hope,goal,trust,secur,strong
6,futur,platform,improv,member,particip,research,term,platform,continu,token,scalabl,transact,sustain,member,attract,promot,reward,innov,educ,promot,secur,decentr,trust,web,futur,provid,platform,ensur,market,defi,improv,asset,industri,part,decis,transpar,audienc,enabl,mission,layer,continu,individu,applic,increas,ensur,achiev,success,part,make,foster,enhanc,give
7,term,fund,address,prioriti,long-term,educ,good,network,ecosystem,web,ethereum,experi,commit,global,futur,particip,token,creat,member,enhanc,commit,individu,posit,crypto,strong,experi,ethereum,collabor,contribut,access,attract,ensur,explor,airdrop,interact,build,effici,world,landscap,develop,low,global,benefit,fee,transpar,growth,posit,user,import,drive,experi,vote
8,market,fee,experi,short-term,event,growth,team,project,long-term,holder,provid,improv,technolog,impact,strong,transpar,vote,blockchain,continu,integr,sustain,financ,technolog,market,support,make,applic,promot,potenti,foster,user-friend,landscap,bring,futur,promis,trust,target,system,access,effici,build,foster,includ,reduc,promot,includ,share,work,privaci,organ,user-friend,market
9,great,decentr,long-term,creat,vision,project,system,market,sustain,world,innov,make,shape,inclus,reward,success,build,ethereum,engag,data,shape,defi,innov,support,give,build,enhanc,communiti,propos,global,make,opportun,ownership,game,statement,user,includ,control,dedic,scale,life,financ,busi,improv,collabor,grant,goal,airdrop,web,commit,applic,grow
10,short,user,enhanc,vote,transpar,invest,make,transact,layer,crypto,effici,enhanc,ecosystem,posit,vote,project,holder,enabl,includ,potenti,innov,foster,aspir,product,work,creat,aim,engag,goal,decentr,fee,remain,public,excel,guid,posit,make,digit,ensur,protocol,prioriti,innov,potenti,cost,engag,incent,statement,excel,protect,promis,communiti,propos
11,peopl,solut,engag,technolog,opportun,grant,chain,advanc,govern,number,enabl,lead,foster,individu,give,engag,govern,applic,organ,fee,digit,provid,benefit,industri,hope,user-friend,solut,member,support,drive,dapp,commit,web,strong,open,digit,scalabl,power,remain,focus,success,revolution,purpos,high,educ,strategi,chang,success,compani,collabor,dapp,potenti
12,activ,transact,provid,includ,strateg,initi,game,improv,scalabl,idea,adopt,potenti,inclus,financ,work,build,propos,drive,sustain,effici,empower,system,space,reach,airdrop,lead,enabl,educ,holder,space,build,divers,ecosystem,join,organ,impact,collabor,support,divers,aim,suppli,aim,solut,integr,process,clear,guid,plan,product,boundari,tool,involv
13,chain,attract,resourc,promot,build,enhanc,peopl,fund,prioriti,open,platform,integr,digit,aspir,hope,educ,encourag,adopt,collabor,growth,divers,servic,seamless,high,agre,potenti,scale,process,strong,financ,reduc,boundari,exist,secur,builder,core,leverag,opportun,asset,priorit,track,strive,industri,interoper,initi,improv,decis,happi,data,pioneer,improv,event
14,hope,audit,ensur,trust,strong,partnership,give,year,network,term,applic,reduc,individu,technolog,agre,achiev,number,aim,valu,blockchain-bas,environment,revolution,inclus,part,import,interoper,maintain,transpar,success,commit,cost,set,life,work,share,thrive,industri,blockchain-bas,evolv,advanc,mind,worldwid,democrat,gas,resourc,lead,framework,nova,time,environ,research,holder
15,campaign,scalabl,build,event,grow,defi,hope,promot,engag,achiev,aim,user-friend,empower,defi,plan,mission,foundat,effici,key,busi,collabor,aspir,transform,inspir,success,improv,protocol,initi,involv,purpos,ethereum,activ,eth,compani,action,grow,busi,data,complianc,robust,heart,user-centr,enthusiast,maintain,decision-mak,faster,stakehold,moon,implement,push,potenti,thing
16,strong,gas,friction,organ,plan,alloc,sybil,promis,strateg,propos,drive,transpar,aspir,system,blockchain-bas,decis,term,foster,decis,reduc,boundari,aim,chang,time,grow,dapp,growth,focus,member,revolution,increas,foster,great,success,success,control,potenti,growth,servic,audit,pave,priorit,individu,smart,encourag,solut,action,campaign,ownership,world,growth,futur
17,grow,ensur,reduc,token,member,resourc,communiti,enhanc,develop,life,revolution,build,collabor,servic,airdrop,goal,expand,thrive,focus,leverag,set,contribut,user,happi,big,opportun,build,achiev,program,strive,high,mission,carri,plan,aspir,chang,tool,trade,model,cost-effect,live,seek,leverag,speed,contribut,activ,interact,continu,program,thrive,fast,creativ
18,crypto,focus,point,vision,time,expand,crypto,focus,experi,eth,trust,data,vision,aim,project,growth,long,advanc,improv,protect,progress,worldwid,broader,eth,plan,cost,seamless,activ,time,transform,interoper,ecosystem,environ,thing,journey,privaci,access,work,seamless,transact,complet,servic,seek,bridg,continu,explor,collect,long,bring,aim,resourc,agre
19,system,layer,foster,potenti,trust,foster,interest,fee,maintain,power,collabor,asset,divers,contribut,grow,includ,fair,challeng,opportun,public,transcend,tradit,bring,easi,’,asset,robust,encourag,creativ,provid,speed,access,cross-bord,happi,align,data,advanc,project,global,ethereum,journey,engag,collabor,facilit,provid,effici,aspir,big,realiz,lead,interfac,voic
20,plan,incent,clear,understand,goal,integr,import,industri,robust,model,thrive,fee,standard,trust,industri,decision-mak,idea,strive,support,suppli,standard,creat,collabor,decis,thing,ethereum,critic,decision-mak,work,worldwid,integr,core,integr,nova,empower,voic,offer,cross-bord,standard,offer,start,drive,evolut,expand,long-term,effort,align,join,public,critic,wider,full
21,time,adopt,onboard,blockchain,work,program,task,stay,regular,big,govern,increas,environment,transform,long,resourc,creativ,pioneer,manag,smart,respons,interact,industri,partner,huge,process,priorit,continu,competit,seek,grant,continu,system,moon,strateg,key,benefit,equit,envis,achiev,digit,invest,driven,contract,fund,foundat,progress,term,opinion,differenti,encourag,task
22,airdrop,increas,barrier,strategi,contribut,build,potenti,base,interoper,action,foster,dapp,respons,advanc,product,stakehold,direct,secur,framework,reliabl,push,forc,legaci,trade,moon,collabor,cost-effect,provid,increas,priorit,bridg,enhanc,loyal,big,collect,growth,enthusiast,cryptocurr,unwav,seamless,profit,transform,approach,liquid,partnership,creation,inspir,nice,influenc,achiev,institut,hold
23,blockchain,invest,regular,process,strategi,protocol,thing,avenu,user,foundat,broader,defi,set,measur,public,opportun,forward,unlock,resourc,util,individu,equit,leav,understand,join,bridg,interest,resourc,chain,secur,liquid,complianc,connect,campaign,jokerac,community-driven,democrat,belief,vision,infrastructur,dream,growth,advanc,opportun,fair,path,open,amaz,main,player,scalabl,competit
24,data,partnership,encourag,communic,mission,explor,world,reduc,complianc,hold,particip,cost,boundari,chang,’,key,share,speed,practic,increas,voic,control,life,day,top,blockchain,player,partnership,blockchain-bas,pioneer,cross-chain,evolv,investor,agre,stakehold,reliabl,challeng,era,decentr,research,market,principl,broader,asset,reliabl,regular,leav,huge,real,make,fund,day
25,import,integr,document,decision-mak,achiev,collabor,dedic,effici,remain,ident,seamless,seamless,transcend,space,interest,valu,ident,infrastructur,long-term,account,evolv,econom,measur,person,program,reduc,contract,fair,power,user-centr,base,design,import,implement,direct,achiev,evolut,mission,integr,case,realm,purpos,ensur,cross-chain,knowledg,incentiv,jokerac,bring,offer,technolog,capabl,top
26,game,defi,process,effect,product,provid,web,financi,token,fast,benefit,leverag,progress,bring,part,manag,benefit,seamless,project,facilit,complianc,barrier,aim,invest,event,protocol,research,includ,event,benefit,interfac,model,ultim,opinion,forward,experi,aim,compass,establish,leverag,advantag,ethic,explor,base,manag,stakehold,legaci,profession,key,set,direct,decis
27,galx,protocol,access,manag,includ,adopt,airdrop,data,asset,person,blockchain,protect,global,futur,import,collabor,deleg,faster,strateg,contract,global,scale,catalyst,real,interest,interfac,address,invest,import,practic,wider,push,goal,long,broader,groundbreak,seek,vision,nurtur,cutting-edg,love,tradit,barrier,eth,effici,optim,measur,guy,nft,empower,easi,builder
28,give,interoper,user-friend,mission,impact,audit,opinion,campaign,regulatori,deleg,offer,speed,landscap,interact,thing,fair,maintain,leader,decision-mak,defi,principl,transform,larg,embrac,game,point,infrastructur,long-term,decentr,dedic,low,organ,day,product,inspir,move,approach,suggest,adapt,provid,contribut,interact,economi,benefit,establish,exchang,reflect,dev,carri,uniqu,lower,contribut
29,thing,activ,feedback,propos,process,encourag,run,growth,posit,true,unlock,encourag,priorit,tradit,creativ,organ,model,maintain,fund,full,landscap,economi,last,competit,lot,cross-chain,support,expand,share,futur,applic,advanc,live,point,leav,energi,unlock,achiev,design,drive,explor,divers,ecosystem,util,measur,ultim,journey,strateg,lot,continu,network,move
30,interest,initi,implement,achiev,decis,tool,part,enabl,commit,jokerac,practic,bridg,principl,control,moon,focus,achiev,effort,stakehold,offer,thrive,hub,vision,bring,excel,liquid,achiev,build,strategi,forc,util,dedic,properti,task,legaci,community-centr,barrier,help,emerg,usabl,lfg,technolog,practic,optim,mechan,collabor,broader,distribut,scalabl,exist,promot,layer
31,task,grant,continu,growth,valu,dapp,gitcoin,optim,evolv,share,build,smart,collect,industri,implement,continu,true,address,mission,privaci,serv,extend,live,problem,hold,increas,uniqu,growth,partner,system,secur,lead,ecolog,term,inclus,respons,driven,easi,set,enabl,friend,gap,forefront,provid,dao,oper,builder,excit,exist,respons,strateg,year
32,industri,expand,sustain,decis,potenti,effort,anti,scale,seamless,suggest,ultim,interoper,continu,live,huge,member,suggest,community-driven,open,awar,ecosystem,asset,societi,vibrant,profession,resourc,fund,incent,exchang,aim,smart,facilit,fraud,main,reflect,redefin,full,step,vibrant,limit,lie,forc,interest,easier,technic,expand,direct,play,connect,community-driven,great,result
33,work,effici,pain,valu,distribut,includ,galx,develop,effect,forward,seek,ownership,pioneer,forc,happi,process,distribut,seek,social,jokerac,guid,tool,mean,comprehens,opinion,safe,case,technic,hold,equit,gas,standard,grow,goal,framework,capabl,activ,reach,reshap,challeng,forg,barrier,stakehold,compat,awar,industri,essenc,mission,point,mission,regul,enabl
34,launch,research,priorit,space,propos,awar,season,ethereum,address,feel,reliabl,facilit,scale,benefit,suppli,framework,improv,offer,regulatori,current,continu,promot,beacon,ppl,influenc,effici,smart,broader,gas,activ,impact,particip,control,realiz,environ,true,research,price,legal,enterpris,realiti,decentr,unlock,project,deliv,larg,forward,glad,join,posit,distinct,deleg
35,opinion,awar,interfac,impact,vote,applic,suggest,user-friend,audit,matter,full,interfac,evolv,barrier,program,long-term,feel,design,stay,exchang,remain,decision-mak,ultim,payment,share,aim,data,understand,cryptocurr,tradit,incent,protect,upgrad,nice,continu,excit,resourc,oper,transform,transform,innov,provid,design,easili,enhanc,educ,week,price,number,power,sector,’
36,featur,optim,creat,social,nft,drive,sector,privaci,legal,benefit,community-driven,foster,forefront,equit,top,strateg,interact,confid,growth,made,role,limit,priorit,bigger,guy,simplifi,stakehold,audit,effect,gap,easier,measur,method,clear,resili,empower,fast,member,advanc,acceler,power,cutting-edg,outreach,larg,effect,implement,seek,special,end,groundbreak,organ,earli
37,problem,ethereum,stakehold,innov,ident,space,bring,social,key,largest,scale,cross-chain,environ,econom,trade,platform,base,cost-effect,establish,access,core,democrat,stakehold,futur,love,landscap,fast,offer,opportun,cutting-edg,compat,adapt,payment,nft,lead,organ,acceler,safe,role,safeti,challeng,freedom,promot,rang,conduct,loyal,opportun,bright,introduc,community-centr,vision,effect
38,part,interact,simplifi,goal,partner,hackathon,passport,launch,facilit,improv,leader,contract,beacon,legaci,real,fund,vibrant,lower,advanc,grow,forefront,particip,govern,comfort,path,work,target,improv,interest,background,qualiti,nurtur,royalti,huge,number,central,enabl,greater,environment,blockchain,face,background,transform,connect,understand,address,meet,histori,care,open-sourc,signific,power
39,world,asset,tool,opportun,provid,focus,excel,area,ongo,grow,effort,time,push,catalyst,event,expand,consist,cutting-edg,partnership,crypto,aspir,background,envis,dream,season,mission,power,platform,progress,principl,optim,vibrant,rate,influenc,top,protect,purpos,drive,maintain,mainstream,peerpeer,partner,asset,secur,servic,inform,stay,fantast,famous,recogn,rule,collect
40,join,high,challeng,posit,share,reach,hold,gas,empow,import,strive,privaci,guid,reach,market,regulatori,largest,growth,align,fast,environ,border,abil,open,wonder,research,engag,success,suppli,barrier,connect,focus,season,dev,real,bright,project,target,trustless,highest,ingenu,empower,strive,execut,risk,succeed,confid,regulatori,leader,possibl,asset,take
41,leverag,liquid,pave,updat,clear,cross-chain,token,applic,futur,inspir,address,safeti,voic,busi,easi,research,matter,entrepreneur,initi,conduct,lie,break,generat,connect,job,biggest,user-centr,manag,establish,knowledg,rang,envis,logist,profession,achiev,institut,cutting-edg,fulli,extend,maintain,privaci,enabl,critic,eas,organ,fraud,submit,short,content,beacon,infrastructur,wider
42,lot,program,regulatori,inform,interact,implement,high,wallet,establish,tangibl,design,ensur,role,strive,influenc,initi,expertis,forefront,audit,healthcar,govern,greater,drive,free,arbitum,wider,usabl,system,distribut,exist,effort,support,access,guy,ident,possibl,economi,aliv,focus,social,ethereum,offer,data,energi,maintain,scalabl,promot,feel,featur,communiti,document,quest
43,blockchain-bas,explor,establish,establish,top,util,big,cost,measur,place,abil,process,serv,mean,excel,financi,organ,priorit,measur,level,collect,creation,adopt,drive,investor,trustless,safeti,dao,lot,trustless,transfer,unwav,condit,amaz,meet,effici,enterpris,keep,navig,address,bring,world,newcom,generat,invest,upgrad,strateg,made,order,vibrant,public,submiss
44,excit,smart,issu,financi,builder,organ,nfts,servic,manag,consist,afford,high,complianc,worldwid,crypto,social,daili,broader,strategi,govern,interconnect,groundbreak,mark,statement,real,need,differenti,social,updat,mind,embrac,idea,onboard,impress,implement,signific,core,listen,shape,compromis,impress,practic,govern,standard,address,right,activ,put,investor,vulner,uniqu,individu
45,introduc,applic,path,holder,idea,improv,join,invest,foundat,continu,confid,easili,thrive,direct,lot,statement,artist,protocol,technic,small,stand,underserv,profound,profit,clear,easier,effici,oper,safe,catalyst,promis,seamless,particip,track,play,feel,interest,art,player,chain,user,make,oper,perform,embrac,perform,feedback,revolut,nfts,expertis,pursu,investor
46,happi,perform,technic,program,object,benefit,real,access,divers,maintain,cost-effect,signific,lie,economi,game,establish,case,mass,contribut,cryptocurr,dedic,widespread,resili,player,read,issu,oper,strategi,prioriti,deliv,involv,fund,player,potenti,accomplish,stay,experi,emerg,transcend,key,brighter,elimin,share,wallet,ecosystem,relentless,input,wonder,maxim,encount,hackathon,time
47,product,alloc,offer,share,risk,offer,suppli,competit,model,carri,forc,exchang,hub,last,day,technic,help,live,implement,research,prosper,shift,solv,launch,grant,intuit,faster,perform,attent,user-friend,larg,catalyz,creator,end,place,result,awar,firm,paramount,onboard,advanc,understand,initi,signific,social,mutual,stand,exchang,payment,realiti,perfect,feel
48,passport,crucial,wallet,oper,point,document,fast,trend,bridg,interact,environ,distribut,remain,extend,path,support,meaning,reshap,action,connect,highest,catalyz,cultur,foster,nft,promot,easi,outreach,start,limit,economi,ethic,fulli,price,clear,expertis,newcom,built,user-centr,widespread,accept,locat,resili,address,forc,human,embodi,posit,person,unit,action,lower
49,contest,innov,mechan,progress,feedback,expans,happi,incent,decision-mak,simpl,onboard,liquid,interoper,larg,profession,market,builder,rang,defin,redefin,legal,locat,promis,prospect,part,scale,futur,impact,learn,highest,mainstream,respons,cheap,reward,stand,person,recogn,sector,core,fast,excit,break,blockchain-pow,volum,updat,rais,true,show,galx,forc,purpos,perform
50,bring,vulner,comprehens,risk,organ,understand,blockchain-bas,throughput,research,daili,entrepreneur,nft,inspir,drive,competit,potenti,upgrad,signific,oper,fulli,excit,strive,everyday,measur,year,easili,audit,stakehold,small,era,asset,encompass,perform,web,year,introduc,relentless,offer,resili,hinder,problem,decis,embrac,current,idea,launch,valuabl,path,today,sens,seamless,alik
